category_id;category_name;breadcrumb_path;category_level;parent_id
100000045;Armoires Documents;Armoire document;1;
100000048;Assises Bureaux;Assise bureau;1;
9672;Beaux Arts;Beaux Arts;1;
100000321;Crayons Pinceau;Beaux Arts > Accessoires pour dessin > Accessoires Arts Plastiques > Crayon pinceau;4;
100000414;Feutres à Encre;Beaux Arts > Accessoires pour dessin > Accessoires Arts Plastiques > Feutre a encre;4;
100000301;Crayons Argent;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon argent;4;7412
100000305;Crayons de Couleur Brillants;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon de couleur brillant;4;7412
100000308;Crayons Fluo;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon fluo;4;7412
100000309;Crayons Graphite Faber Castell;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon graphite faber castell;4;7412
100000310;Crayons Jaunes;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon jaune;4;7412
100000311;Crayons Jumbo;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon jumbo;4;7412
100000312;Crayons Licorne;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon licorne;4;7412
100000315;Crayons Multicolores;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon multicolore;4;7412
100000316;Crayons Orange;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon orange;4;7412
100000320;Crayons Peau;Beaux Arts > Accessoires pour dessin > Crayons de couleur > Crayon peau;4;7412
100000428;Feutres Pointe Pinceau;Beaux Arts > Accessoires pour dessin > Feutres > Feutre pointe pinceau;4;
9918;Arts graphiques;Beaux Arts > Arts graphiques;2;9672
9921;Feutre Promarker, Promarker Brush et Brushmarker;Beaux Arts > Arts graphiques > Feutre Promarker, Promarker Brush et Brushmarker;3;9918
9919;Feutres techniques / Lettering;Beaux Arts > Arts graphiques > Feutres techniques / Lettering;3;9918
100000042;Alizarine Peinture;Beaux Arts > Peinture et accessoires > Peintures acrylique > Alizarine peinture;4;
9677;Supports et papiers;Beaux Arts > Supports et papiers;2;9672
9897;Papiers de couleur;Beaux Arts > Supports et papiers > Papiers de couleur;3;9677
100000332;Dessins Feuilles Aquarelle;Beaux Arts > Supports et papiers > Papiers pour aquarelle > Dessin feuille aquarelle;4;
100000056;Bibliothèques coulissantes;Bibliothèque coulissante;1;
100000078;Bureau 110 cm;Bureau 110 cm;1;
100000079;Bureaux 120 cm avec Tiroirs;Bureau 120 cm avec tiroir;1;
100000080;Bureaux acoustiques;Bureau acoustique;1;
100000081;Bureaux Aluminium;Bureau aluminium;1;
100000085;Bureaux Anthracites;Bureau anthracite;1;
100000086;Bureaux Assis Debout 160;Bureau assis debout 160;1;
100000087;Bureaux Assis Debout Blancs;Bureau assis debout blanc;1;
100000088;Bureaux Assis Debout Gaming;Bureau assis debout gaming;1;
100000089;Bureaux Assis Debout Noirs;Bureau assis debout noir;1;
100000105;Bureau avec retour;Bureau avec retour;1;
100000090;Bureaux Bench 4 personnes;Bureau bench 4 personnes;1;
100000091;Bureaux Bench 6 personnes;Bureau bench 6 personnes;1;
100000092;Bureaux Blancs 110 cm;Bureau blanc 110 cm;1;
100000093;Bureaux Bois Chêne;Bureau bois chene;1;
100000094;Bureaux Carbone;Bureau carbone;1;
100000095;Bureaux Chêne Gris;Bureau chene gris;1;
100000096;Bureau compact;Bureau compact;1;
100000097;Bureaux console;Bureau console;1;
100000098;Bureaux d'angle Blanc;Bureau d angle blanc;1;
100000082;Bureaux d'Angle Blanc Laqué;Bureau d angle blanc laqué;1;
100000083;Bureaux d'Angle Laqués;Bureau d angle laqué;1;
100000084;Bureaux d'Angle Noirs Laqués;Bureau d angle noir laqué;1;
100000099;Bureaux Gaming 120 cm;Bureau gaming 120 cm;1;
100000100;Bureaux Manivelle;Bureau manivelle;1;
100000101;Bureaux Niches;Bureau niche;1;
100000102;Bureaux Plateaux;Bureau plateau;1;
100000103;Bureaux pliables;Bureau pliable;1;
100000104;Bureaux pour 4 personnes;Bureau pour 4 personnes;1;
100000106;Bureaux Retour Gauche;Bureau retour gauche;1;
100000107;Bureaux Télescopiques;Bureau telescopique;1;
100000108;Bureaux Wenge;Bureau wenge;1;
7022;Bureautique;Bureautique;1;
100000226;Cartes Micro SD 8 Go;Bureautique > Cartes mémoire > Carte micro sd 8 go;3;
100000518;Micro SD 16 Go;Bureautique > Cartes mémoire > Micro sd 16 go;3;
100000237;Chargeurs PC USB C;Bureautique > Chargeurs PC > Chargeur pc usb c;3;10118
