order_id;order_number;created_at;customer_id;item_id;sku;product_name;qty_ordered
3705291;303794437;2026-05-01 10:00:00;3187862;20757715;79438488;Agenda Olympe - 1 semaine sur 2 pages - 16 x 24 cm - noir - Quo Vadis;25
3705290;303794436;2026-05-01 10:00:00;1860306;20757714;812878;Tipp Ex - Pack de 10 correcteurs - Mini Pocket Mouse - 5mm x 6m;1
3705289;303794435;2026-05-01 10:00:00;2635283;20757713;400000621;Exacompta - Pack de 100 Fiches Bristol - A4 - petits carreaux - couleurs assorties;1
3705288;303794434;2026-05-01 09:56:00;3227030;20757712;79142362;Copie nb 10 a 499 mo;159
3705287;303794433;2026-05-01 09:55:00;3162463;20757711;79149254;Clairefontaine DCP - Papier ultra blanc - A4 (210 x 297 mm) - 250 g/m² - Ramette de 125 feuilles;2
3705286;303794432;2026-05-01 09:55:00;3227272;20757710;405233004;IMP TRACEUR AFF FLUO NB OU COUL A0 5 A 9;6
3705284;303794430;2026-05-01 09:52:00;3227265;20757705;405116622;Legami - Pack de 3 recharges pour stylo à encore gel - bleu;1
3705284;303794430;2026-05-01 09:52:00;3227265;20757706;405127353;Legami - Pack de 3 recharges pour stylo effaçable - rouge;1
3705284;303794430;2026-05-01 09:52:00;3227265;20757707;405137696;Legami - Pack de 3 recharges pour stylo à encore gel - vert;1
3705283;303794429;2026-05-01 09:52:00;1007019;20757702;405119483;Rapid Colour'Breeze - Mini perforateur 2 trous - pour 10 feuilles - corail;1
3705283;303794429;2026-05-01 09:52:00;1007019;20757703;405149602;Les Prix Mini - Classeur à levier - Dos 75 mm - A4 - pour 715 feuilles - vert;7
3705283;303794429;2026-05-01 09:52:00;1007019;20757704;405242687;Les Prix Mini - Intercalaire A4 en Carte Recyclée – 6 Onglets;7
3705282;303794428;2026-05-01 09:51:00;3227271;20757701;2068699;Clairefontaine - Répertoire à spirale 11 x 17 cm - 100 pages - petits carreaux (5x5 mm) - disponible dans différentes couleurs;1
3705281;303794427;2026-05-01 09:49:00;2164010;20757699;79429226;Brother DR2400 - tambour original;1
3705281;303794427;2026-05-01 09:49:00;2164010;20757700;405117613;Brother TN2420 - Pack de 2 - noir - cartouche laser d'origine;2
3705280;303794426;2026-05-01 09:48:00;3178237;20757698;405134459;Epson 604 Ananas - pack de 4 - noir, jaune, cyan, magenta - cartouche d'encre originale;1
3705279;303794425;2026-05-01 09:47:00;3227269;20757697;405246727;Cartouche compatible Epson 604XL Ananas - pack de 4 - noir, jaune, cyan, magenta - Les prix mini;2
3705277;303794423;2026-05-01 09:45:00;3117986;20757694;79371715;Copie couleur 50 a 99 mo;74
3705276;303794422;2026-05-01 09:43:00;3227266;20757693;405226523;Sac à dos WALKER Element - 2 compartiments coloris Noir;4
3705275;303794421;2026-05-01 09:41:00;2586460;20757692;405147364;Exacompta - 20 Bobines thermiques - rouleaux TPE - 57 x 40 x 12 mm - 18m - sans mandrin ni film plastique;2
3705274;303794420;2026-05-01 09:41:00;2881064;20757689;405240817;Bureau Vallée Recyclé - 100 Enveloppes - DL 110x220 - 80 g/m² - blanc - bande adhésive;2
3705274;303794420;2026-05-01 09:41:00;2881064;20757690;79428148;Global Notes - Notes adhésives - 400 feuilles - 75 x 75 mm - jaune;1
3705274;303794420;2026-05-01 09:41:00;2881064;20757691;9683;Ruban adhésif transparent - 19 mm x 33 m - 1 rouleau - Sign;2
3705273;303794419;2026-05-01 09:40:00;3227264;20757685;79142368;Copie couleur 200 a 499 mo;403
3705273;303794419;2026-05-01 09:40:00;3227264;20757686;79424928;Supplément Papier couche - A4 - 80G - couleur ou recyclé blanc;205
3705273;303794419;2026-05-01 09:40:00;3227264;20757687;79431299;RELIURE PLASTIQUE COMPLETE 100 A 199P;1
3705273;303794419;2026-05-01 09:40:00;3227264;20757688;79431297;RELIURE PLASTIQUE COMPLETE 1 A 49P;1
3705272;303794418;2026-05-01 09:39:00;1566386;20757682;79138430;Clairefontaine - Bobine de traceur - Papier ordinaire - Rouleau A0 (91,4 cm x 50 m) - 80 g/m²;3
3705272;303794418;2026-05-01 09:39:00;1566386;20757683;1855504;Exacompta Nature Future - Chemise à 3 rabats - A4 - pour 250 feuilles - orange;10
3705272;303794418;2026-05-01 09:39:00;1566386;20757684;79417649;"Exacompta Rocks - 50 Chemises - 210 gr - couleurs assorties""";1
3705271;303794417;2026-05-01 09:36:00;831430;20757679;405134574;Canon PG-540L - noir - cartouche d'encre originale;1
3705271;303794417;2026-05-01 09:36:00;831430;20757680;79401932;HP 302 - noir - cartouche d'encre originale (F6U66AE);1
3705271;303794417;2026-05-01 09:36:00;831430;20757681;79410044;Cartouche remanufacturée HP 302XL - pack de 2 - noir, cyan, magenta, jaune - Uprint;1
3705270;303794416;2026-05-01 09:34:00;1293264;20757674;79424023;Brother TN423 - cyan - cartouche laser d'origine;1
3705270;303794416;2026-05-01 09:34:00;1293264;20757675;79424025;Brother TN423 - jaune - cartouche laser d'origine;1
3705270;303794416;2026-05-01 09:34:00;1293264;20757676;79424024;Brother TN423 - magenta - cartouche laser d'origine;1
3705270;303794416;2026-05-01 09:34:00;1293264;20757677;79424022;Brother TN423 - noir - cartouche laser d'origine;1
3705270;303794416;2026-05-01 09:34:00;1293264;20757678;79411956;MCL Samar - câble HDMI haute vitesse 3D avec Ethernet - 2m;1
3705267;303794413;2026-05-01 09:30:00;3227254;20757667;79406651;RHODIA Rhodiarama - Carnet souple A6 - 144 pages - ligné - violet;1
3705267;303794413;2026-05-01 09:30:00;3227254;20757668;79406652;RHODIA Rhodiarama - Carnet souple A6 - 144 pages - ligné - framboise;1
3705267;303794413;2026-05-01 09:30:00;3227254;20757669;79406650;RHODIA Rhodiarama - Carnet souple A6 - 144 pages - ligné - bleu saphir;1
3705267;303794413;2026-05-01 09:30:00;3227254;20757670;79406649;RHODIA Rhodiarama - Carnet souple A6 - 144 pages - ligné - anis;1
3705267;303794413;2026-05-01 09:30:00;3227254;20757671;79406653;RHODIA Rhodiarama - Carnet souple A6 - 144 pages - ligné - coquelicot;1
3705266;303794412;2026-05-01 09:29:00;3227260;20757666;79381534;Tampon métallique personnalisé avec 7 lignes de texte - zone d'impression 56 x 26 mm - Trodat Professional 5204;1
3705265;303794411;2026-05-01 09:29:00;3227262;20757665;405249656;Bloc parfumé A5 Diddl;1
3705264;303794410;2026-05-01 09:27:00;3108330;20757664;405134459;Epson 604 Ananas - pack de 4 - noir, jaune, cyan, magenta - cartouche d'encre originale;1
3705263;303794409;2026-05-01 09:27:00;273699;20757663;79401393;Cartouche laser compatible Brother TN2320 - noir - Uprint;1
3705262;303794408;2026-05-01 09:23:00;610017;20757657;405184358;BIC Cristal - 5 Stylos à bille - couleurs assorties - 1 mm - pointe moyenne (étui carton);2
3705262;303794408;2026-05-01 09:23:00;610017;20757658;405151618;BIC 4 Couleurs Shine - Stylo à bille 4 couleurs - disponible dans différentes couleurs;4
3705262;303794408;2026-05-01 09:23:00;610017;20757659;79360222;"Scotch Crystal - Ruban adhésif Se découpe à la main"" - 19mm x 25m""";3
3705262;303794408;2026-05-01 09:23:00;610017;20757660;79355378;Logitech M90 - souris filaire - noir;2
3705262;303794408;2026-05-01 09:23:00;610017;20757661;405152227;Oberthur Salto - Carnet de notes souple - A6 - 128 pages - aquarelle;1
3705262;303794408;2026-05-01 09:23:00;610017;20757662;79400807;UHU stic ReNATURE - Bâton de colle - 21 g - Plastique écologique;2
3705261;303794407;2026-05-01 09:23:00;610017;20757633;400002468;La Couronne - 10 Pochettes C4 229 x 324 mm - 90 gr - sans fenêtre - brun - bande auto-adhésive;2
3705261;303794407;2026-05-01 09:23:00;610017;20757634;35301;GPV - 10 Pochettes Enveloppes C5 162 x 229 mm - 85 gr - sans fenêtre - kraft - bande adhésive;2
3705261;303794407;2026-05-01 09:23:00;610017;20757635;405130590;Calligraphe 7000 - Cahier de brouillon - 17 x 22 cm - 48 pages - grands carreaux (Seyes);4
3705261;303794407;2026-05-01 09:23:00;610017;20757636;405118168;BIC 4 Couleurs Bois - Stylo à bille 4 couleurs effet bois - disponible dans différentes couleurs;2
3705261;303794407;2026-05-01 09:23:00;610017;20757637;999991953;STABILO BOSS ORIGINAL - Pack de 6 surligneurs - couleurs assorties - encre à l'eau - 2-5 mm;1
3705261;303794407;2026-05-01 09:23:00;610017;20757638;405118212;Paper Mate FlexGrip ultra - Pack de 5 stylos à bille (encre noire) - couleurs pastels assorties - 1 mm - rétractable;1
3705261;303794407;2026-05-01 09:23:00;610017;20757639;405234820;Les Prix Mini - Ruban correcteur frontal - 5mm x 10m  ;3
3705261;303794407;2026-05-01 09:23:00;610017;20757640;405234850;Les Prix Mini - Devidoir + 1 Ruban adhesif transparent - 18mmx35m;6
3705261;303794407;2026-05-01 09:23:00;610017;20757641;81975;Scotch Magic - Ruban adhésif - 19 mm x 7,5 m - avec dévidoir;3
3705261;303794407;2026-05-01 09:23:00;610017;20757642;405233023;Lot de 6 rouleaux adhésif pour emballage - polypropylène transparent - 66m x 48mm ;1
3705261;303794407;2026-05-01 09:23:00;610017;20757643;405233024;SIGN - Ruban adhésif d'emballage - havane - 66 m x 48 mm;4
3705261;303794407;2026-05-01 09:23:00;610017;20757644;405243375;Oxford Romance - Cahier de notes - 100 pages - 105 x 148 mm - lignée 5mm;1
3705261;303794407;2026-05-01 09:23:00;610017;20757645;79397586;Conquérant Classique - Cahier polypro 24 x 32 cm - 48 pages - grands carreaux (Seyes) - bleu;2
3705261;303794407;2026-05-01 09:23:00;610017;20757646;363036;Wonday - 12 Crayons de couleur - pointe moyenne;3
3705261;303794407;2026-05-01 09:23:00;610017;20757647;79151302;Schneider Tops 505 M- Stylo-bille - Rouge – Pointe Moyenne avec Corps Transparent et Capuchon Clip;2
3705261;303794407;2026-05-01 09:23:00;610017;20757648;79421767;BIC 4 Couleurs - Stylo à bille 3 couleurs + 1 crayon HB avec gomme;2
3705261;303794407;2026-05-01 09:23:00;610017;20757649;79351083;BIC 4 Couleurs Original - Stylo à bille 4 couleurs (rouge, bleu, vert, noir);2
3705261;303794407;2026-05-01 09:23:00;610017;20757650;79418309;BIC M10 Clic - Stylo à bille - bleu - 1 mm - rétractable;10
3705261;303794407;2026-05-01 09:23:00;610017;20757651;79421464;Maped Marker'Peps - Pack de 5 marqueurs effaçables avec chiffonette - pointe fine - bleu;1
3705261;303794407;2026-05-01 09:23:00;610017;20757652;79367470;UNI CHALK - Marqueur craie - pointe moyenne conique - blanc;2
3705261;303794407;2026-05-01 09:23:00;610017;20757653;79386501;UNI CHALK - Marqueur craie - pointe fine conique - blanc;2
3705261;303794407;2026-05-01 09:23:00;610017;20757654;133362;STABILO BOSS ORIGINAL - Surligneur fluo - jaune;2
3705261;303794407;2026-05-01 09:23:00;610017;20757655;79421422;UHU stic - 8 Bâtons de colle - 8.2 g;1
3705261;303794407;2026-05-01 09:23:00;610017;20757656;1363;Scotch - Tube de colle gel - 30 ml - liquide ;5
3705259;303794405;2026-05-01 09:22:00;3227258;20757628;27422;Agenda spiralé Barbara Eurotime 27S - 1 semaine sur 2 pages - 21 x 29,7 cm - noir - Exacompta;1
3705259;303794405;2026-05-01 09:22:00;3227258;20757629;1001701;Oxford Meetingbook - Cahier à spirale A4 (21x29,7 cm) - 160 pages - petis carreaux (5x5 mm);2
3705259;303794405;2026-05-01 09:22:00;3227258;20757630;310103;Paper Mate Flair Original - Feutre fin - pointe moyenne - noir;2
3705259;303794405;2026-05-01 09:22:00;3227258;20757631;2501;BIC Cristal - Stylo à bille - noir - 1 mm - pointe moyenne;5
3705258;303794404;2026-05-01 09:22:00;3159342;20757626;405165131;Brother TN248 - pack de 4 - noir, jaune, cyan, magenta - cartouche laser d'origine;1
3705258;303794404;2026-05-01 09:22:00;3159342;20757627;79421527;Schneider Job - Pack de 10 surligneurs - jaune;2
3705257;303794403;2026-05-01 09:16:00;726125;20757625;999992142;Pentel PEN N50 - Pack de 12 marqueurs permanents - pointe ogive - noir;2
3705255;303794401;2026-05-01 09:13:00;1233744;20757619;79380193;Epson 24 Eléphant - noir - cartouche d'encre originale;2
3705254;303794400;2026-05-01 09:12:00;3227253;20757618;405260914;Livre d'activite Pat Patrouille;2
3705253;303794399;2026-05-01 09:12:00;537678;20757615;405121529;Brother LC422XL - noir - cartouche d'encre originale;2
3705253;303794399;2026-05-01 09:12:00;537678;20757616;119756;Etibox - 1400 Étiquettes adhésives blanches - 105 x 42,4 mm - Coins droits - réf 119756;1
3705253;303794399;2026-05-01 09:12:00;537678;20757617;2343990;Quo Vadis - Recharge pour bloc cube - blanc;4
3705252;303794398;2026-05-01 09:12:00;1563965;20757611;405162798;Les Prix Mini - Bloc Cube notes repositionnables - 400 feuilles - 76 x 76 mm - jaune pastel;12
3705252;303794398;2026-05-01 09:12:00;1563965;20757612;743502;Wonday - 100 Trombones ondulés - 50 mm - galvanisé;8
3705252;303794398;2026-05-01 09:12:00;1563965;20757613;79398270;Wonday - 40 pinces double clip - repliables;1
3705252;303794398;2026-05-01 09:12:00;1563965;20757614;910345;Wonday - Règle aluminium 30 cm;2
3705251;303794397;2026-05-01 09:11:00;3227251;20757610;405259960;Brother DCP-L1642W - Imprimante laser multifonction monochrome A4 - USB 2.0, Wi-Fi(n), LAN;1
3705250;303794396;2026-05-01 09:11:00;3227247;20757607;79142362;Copie nb 10 a 499 mo;136
3705250;303794396;2026-05-01 09:11:00;3227247;20757608;79424133;Supplement papier couche a4 90g;68
3705250;303794396;2026-05-01 09:11:00;3227247;20757609;79431298;RELIURE PLASTIQUE COMPLETE 50 A 99P;1
3705249;303794395;2026-05-01 09:08:00;820804;20757603;79409093;Epson EcoTank 664 - jaune - réservoir d'encre original;1
3705249;303794395;2026-05-01 09:08:00;820804;20757604;79409090;Epson EcoTank 664 - noir - réservoir d'encre original;2
3705249;303794395;2026-05-01 09:08:00;820804;20757605;405242878;Cartouche compatible Epson EcoTank 664 - noir - G&G;1
3705249;303794395;2026-05-01 09:08:00;820804;20757606;405232547;Mobility Lab - 100 lingettes nettoyantes pour écrans;1
3705247;303794393;2026-05-01 09:06:00;3227246;20757599;405139301;Epson 604XL/stand Ananas - pack de 4 - noir XL, jaune, cyan, magenta - cartouche d'encre originale;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757593;405243509;Legami - Taille-crayon lumineux avec réservoir Monster;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757594;405118289;Legami - Taille-crayon avec réservoir - patte de chat;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757595;405243501;Legami - Stylo à encre gel Lovely Friends Monster;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757596;405243462;Legami - Trousse en silicone souple 2-en-1 Kawaii Monster;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757597;405243470;Legami - Trousse à compartiments Panda;1
3705246;303794392;2026-05-01 09:03:00;3221378;20757598;405222213;Legami - Crayon candy cane - Noël;2
3705244;303794390;2026-05-01 08:58:00;3226303;20757586;79140960;IMP TRACEUR AFF NB OU COUL A1 UNITE;2
3705242;303794388;2026-05-01 08:52:00;2242909;20757583;79371714;Copie couleur 2 a 49 mo;2
3705242;303794388;2026-05-01 08:52:00;2242909;20757584;79424139;Supplement papier couche a4 250g;2
3705241;303794387;2026-05-01 08:52:00;3128990;20757581;400008617;Cartouche laser compatible HP 117A - jaune - Switch;1
3705241;303794387;2026-05-01 08:52:00;3128990;20757582;405154578;Cartouche laser remanufacturée HP 117A - magenta - Switch;1
