product_sku;attribute_name;attribute_value
79393216;technologie_connectivite_0;Sans fil
79393216;technologie_connectivite_1;Filaire
79393216;hauteur_produi;11.2 cm
79393216;largeur_produit;8 cm
79393216;note_environnementale;X
79393216;poids_produit;650 g
79393216;profondeur_produit;25.5 cm
79393216;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muse.html
79393217;technologie_connectivite_0;Sans fil
79393217;technologie_connectivite_1;Filaire
79393217;hauteur_produi;11.2 cm
79393217;largeur_produit;8 cm
79393217;note_environnementale;X
79393217;poids_produit;650 g
79393217;profondeur_produit;25.5 cm
79393217;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muse.html
79393218;technologie_connectivite_0;Sans fil
79393218;technologie_connectivite_1;Filaire
79393218;hauteur_produi;25.1 cm
79393218;largeur_produit;21.5 cm
79393218;note_environnementale;X
79393218;poids_produit;2.2 kg
79393218;profondeur_produit;33 cm
79393218;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muse.html
79393218;points_forts_0;<ul><li>Diffusion sans fil de musique provenant d'un appareil Bluetooth, lecteur MP3, smartphone ordinateur ou tablette</li><li>Étanche aux éclaboussures/résistant aux intempéries</li><li>Conception IPX4 certifiée étanche permettant de l'utiliser à l'intérieur et l'extérieur</li><li>Système mains-libres</li><li>10 m de portée</li><li>Enceintes 2.1 avec amplification des basses et son omnidirectionnel</li><li>Entrée auxiliaire</li><li>Entrée alimentation externe</li></ul>
79393219;technologie_connectivite_0;Sans fil
79393219;hauteur_produi;15.6 cm
79393219;largeur_produit;6 cm
79393219;note_environnementale;X
79393219;poids_produit;170 g
79393219;profondeur_produit;9 cm
79393219;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muse.html
79393219;format_batterie;Type AA
79393233;note_environnementale;X
79393233;poids_produit;50 g
79393233;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/ascendeo.html
79393233;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79393233;type_maroquinerie;Coque de protection
79393237;note_environnementale;C
79393237;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79393237;points_forts_0;<ul><li>Charge 2 Smartphones en simultané</li><li>Charge 1 tablette ou 1 Smartphone en charge rapide</li><li>Charge intelligente</li><li>Conception 100% origine France</li><li>Témoin lumineux bleu de tension électrique</li></ul>
79393238;note_environnementale;C
79393238;poids_produit;40 g
79393238;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79393238;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79393238;type_maroquinerie;Coque de protection
1282;note_environnementale;C
1282;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/clairefontaine.html
1282;points_forts_0;<ul><li>Matériau, reconnu pour sa qualité</li><li>Production respectueuse de l'environnement</li></ul>
1282;categorie_accessoire_0;Supports d'impression
1282;technologie_impression_etiquettes_0;Laser
1282;technologie_impression_etiquettes_1;Jet d'encre
1282;type_supports_etiquettes_0;Papier uni
1282;couleur_papier;Bleu ciel
1282;diametre_etiquettes;210 mm
1282;grammage;120 g/m2
1282;taille_support_etiquettes;A4 (210 x 297 mm)
79148637;note_environnementale;C
79148637;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/epson.html
79148637;categorie_accessoire_0;Consommables d'impression
79148637;compatibilite_materiel_informatique_0;PC
79148637;compatibilite_produit_0;AcuLaser C2800DN, C2800DTN, C2800N
79148637;consommables_inclus_0;Pack de 1
79148637;nombre_pages_imprimables_0;3000 pages
79148637;capacite_conso_0;standard
79148637;couleur_article_0;Noir
79148637;type_cartouche_0;Marque
79148637;type_consommable_0;Cartouche de toner
79148637;cartouches_marque;Oui
79148637;cartridge_priority_order;3.0
79148638;note_environnementale;C
79148638;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/epson.html
79148638;categorie_accessoire_0;Consommables d'impression
79148638;compatibilite_produit_0;AcuLaser C2800DN, C2800DTN, C2800N
79148638;consommables_inclus_0;Pack de 1
79148638;nombre_pages_imprimables_0;2000 pages
79148638;capacite_conso_0;standard
79148638;couleur_article_0;Cyan
79148638;type_cartouche_0;Marque
79148638;type_consommable_0;Cartouche de toner
79148638;cartouches_marque;Oui
79148638;cartridge_priority_order;3.0
79391084;note_environnementale;B
79391084;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/hp.html
79391084;categorie_accessoire_0;Consommables d'impression
79391084;compatibilite_materiel_informatique_0;PC
79391084;consommables_inclus_0;Pack de 1
79391084;nombre_pages_imprimables_0;620 pages
79391084;couleur_article_0;Cyan
79391084;type_consommable_0;Cartouche d'encre
79391084;cartouches_marque;Oui
79391084;cartridge_priority_order;0.0
79391084;contenance_ml_0;9 ml
79391086;note_environnementale;B
