parent_product_sku;variant_sku;variant_attribute;variant_value
1063;405216955;Couleur de l'article;Noir rouge
1063;1063;Couleur de l'article;Noir rouge
1063;1063;Quantité incluse;1 
1063;405216955;Quantité incluse;5 
114017;405137240;Taille de support;100 x 24 mm
114017;114006;Taille de support;12 x 18.3 mm
114017;114044;Taille de support;12.8 x 38 mm
114017;114007;Taille de support;16 x 22 mm
114017;114084;Taille de support;19 x 25 mm
114017;405137237;Taille de support;19 x 32 mm
114017;114016;Taille de support;19 x 38 mm
114017;405137244;Taille de support;20 x 67 mm
114017;405137246;Taille de support;24 x 24 mm
114017;405137238;Taille de support;24 x 33.5 mm
114017;405137239;Taille de support;32 x 40 mm
114017;114026;Taille de support;32 x 70 mm
114017;114021;Taille de support;35 x 15 mm
114017;405137245;Taille de support;38.5 x 26.5 mm
114017;114019;Taille de support;38.5 x 65 mm
114017;114036;Taille de support;48.5 x 18.5 mm
114017;114014;Taille de support;48.5 x 25 mm
114017;405137241;Taille de support;48.5 x 30 mm
114017;114013;Taille de support;48.5 x 38 mm
114017;114086;Taille de support;56 x 34 mm
114017;114089;Taille de support;6 x 33.5 mm
114017;114024;Taille de support;64 x 133 mm
114017;114017;Taille de support;8 x 20 mm
114017;114022;Taille de support;80 x 45 mm
114017;114008;Taille de support;9 x 13 mm
114017;114028;Taille de support;97 x 46 mm
114017;405137242;Taille de support;97.5 x 68 mm
114017;405137243;Taille de support;99 x 32 mm
114019;405137240;Taille de support;100 x 24 mm
114019;114006;Taille de support;12 x 18.3 mm
114019;114044;Taille de support;12.8 x 38 mm
114019;114007;Taille de support;16 x 22 mm
114019;114084;Taille de support;19 x 25 mm
114019;405137237;Taille de support;19 x 32 mm
114019;114016;Taille de support;19 x 38 mm
114019;405137244;Taille de support;20 x 67 mm
114019;405137246;Taille de support;24 x 24 mm
114019;405137238;Taille de support;24 x 33.5 mm
114019;405137239;Taille de support;32 x 40 mm
114019;114026;Taille de support;32 x 70 mm
114019;114021;Taille de support;35 x 15 mm
114019;405137245;Taille de support;38.5 x 26.5 mm
114019;114019;Taille de support;38.5 x 65 mm
114019;114036;Taille de support;48.5 x 18.5 mm
114019;114014;Taille de support;48.5 x 25 mm
114019;405137241;Taille de support;48.5 x 30 mm
114019;114013;Taille de support;48.5 x 38 mm
114019;114086;Taille de support;56 x 34 mm
114019;114089;Taille de support;6 x 33.5 mm
114019;114024;Taille de support;64 x 133 mm
114019;114017;Taille de support;8 x 20 mm
114019;114022;Taille de support;80 x 45 mm
114019;114008;Taille de support;9 x 13 mm
114019;114028;Taille de support;97 x 46 mm
114019;405137242;Taille de support;97.5 x 68 mm
114019;405137243;Taille de support;99 x 32 mm
119751;119758;Taille de support;105 x 148.5 mm
119751;119753;Taille de support;105 x 35 mm
119751;119754;Taille de support;105 x 37 mm
119751;119756;Taille de support;105 x 42.4 mm
119751;119759;Taille de support;210 x 148.5 mm
119751;79357139;Taille de support;38 x 21.2 mm
119751;119761;Taille de support;63.5 x 38.1 mm
119751;119750;Taille de support;70 x 35 mm
119751;119751;Taille de support;70 x 37 mm
119751;119762;Taille de support;99.1 x 33.9 mm
119751;119763;Taille de support;99.1 x 38.1 mm
119751;119760;Taille de support;A4 (210 x 297 mm)
119753;119758;Taille de support;105 x 148.5 mm
119753;119753;Taille de support;105 x 35 mm
119753;119754;Taille de support;105 x 37 mm
119753;119756;Taille de support;105 x 42.4 mm
119753;119759;Taille de support;210 x 148.5 mm
119753;79357139;Taille de support;38 x 21.2 mm
119753;119761;Taille de support;63.5 x 38.1 mm
119753;119750;Taille de support;70 x 35 mm
119753;119751;Taille de support;70 x 37 mm
119753;119762;Taille de support;99.1 x 33.9 mm
119753;119763;Taille de support;99.1 x 38.1 mm
119753;119760;Taille de support;A4 (210 x 297 mm)
119754;119758;Taille de support;105 x 148.5 mm
119754;119753;Taille de support;105 x 35 mm
119754;119754;Taille de support;105 x 37 mm
119754;119756;Taille de support;105 x 42.4 mm
119754;119759;Taille de support;210 x 148.5 mm
119754;79357139;Taille de support;38 x 21.2 mm
119754;119761;Taille de support;63.5 x 38.1 mm
119754;119750;Taille de support;70 x 35 mm
119754;119751;Taille de support;70 x 37 mm
119754;119762;Taille de support;99.1 x 33.9 mm
119754;119763;Taille de support;99.1 x 38.1 mm
119754;119760;Taille de support;A4 (210 x 297 mm)
119756;119758;Taille de support;105 x 148.5 mm
119756;119753;Taille de support;105 x 35 mm
119756;119754;Taille de support;105 x 37 mm
119756;119756;Taille de support;105 x 42.4 mm
119756;119759;Taille de support;210 x 148.5 mm
119756;79357139;Taille de support;38 x 21.2 mm
119756;119761;Taille de support;63.5 x 38.1 mm
119756;119750;Taille de support;70 x 35 mm
119756;119751;Taille de support;70 x 37 mm
119756;119762;Taille de support;99.1 x 33.9 mm
119756;119763;Taille de support;99.1 x 38.1 mm
119756;119760;Taille de support;A4 (210 x 297 mm)
119758;119758;Taille de support;105 x 148.5 mm
119758;119753;Taille de support;105 x 35 mm
119758;119754;Taille de support;105 x 37 mm
119758;119756;Taille de support;105 x 42.4 mm
119758;119759;Taille de support;210 x 148.5 mm
119758;79357139;Taille de support;38 x 21.2 mm
119758;119761;Taille de support;63.5 x 38.1 mm
119758;119750;Taille de support;70 x 35 mm
119758;119751;Taille de support;70 x 37 mm
119758;119762;Taille de support;99.1 x 33.9 mm
119758;119763;Taille de support;99.1 x 38.1 mm
119758;119760;Taille de support;A4 (210 x 297 mm)
121101;405153051;Couleur du produit;Bleu
121101;121101;Couleur du produit;Noir
121101;405153052;Couleur du produit;Orange
1282;1214;Couleur du produit;Bleu
