ï»¿Ã¯Â»Â¿shop_id;delivery_mode;is_actif;is_service_actif;delay_value;delay_unit;service_delay_value;service_delay_unit;calculation_strategy;fixed_cost;fixed_cost_currency;is_free_delivery_enabled;free_delivery_min_amount;radius_threshold;eligibility_type;eligibility_value;eligibility_comparator;eligibility_unit;max_malus_penalty;latest_order_same_day;radius_costs
BV551;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV551;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV551;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV551;EXPRESS;true;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;20.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV551;CUSTOM_RELAY;false;false;2;HOUR;6.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV512;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV512;SHIPPING;true;true;2;DAY;2.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV512;RELAY;true;false;2;DAY;2.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV512;EXPRESS;true;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;40.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV512;CUSTOM_RELAY;false;false;2;HOUR;2.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
