shop_id;territory_id;shop_name;city;postal_code;street;phone;email;longitude;latitude;region;store_type;opening_date;surface_area_m2;manager_name;franchise_name;raison_sociale;legal_status;has_personal_price;has_exceptional_hours;is_visible_web;is_territory_shop;aligned_territory_price;aligned_territory_service_price;has_unified_stock;zipcode_malus;bonus_malus;allow_pickup;allow_relay;allow_custom_relay;allow_express;pickup_zone;payment_methods;preparation_time_hours;delivery_time;threshold_online_payment_currency;service_radius_km;quote_validity_days;order_type
BV551;FR;Belley;BELLEY;1300;ZAC DE L’OUSSON;482773030;bv.belley@bureau-vallee.fr;5.706653;45.755713;RRA;INTERNAL_STORE;23/04/2025;370;SYLVIE BERGER;SYLVIE BERGER;SYLBERLY;SAS;false;false;true;false;true;true;true;true;true;true;true;false;true;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV512;FR;Nemours;Saint Pierre Les Nemours;77140;7 Rue Du Loing;01 64 71 05 50;bv.nemours@bureau-vallee.fr;2.692733961;48.27615027;IDF;INTERNAL_STORE;27/04/2022;422;Caroline HERBELOT;GUILLAUME FECHOZ;ZACAMA;SARL;false;false;true;false;false;true;false;true;true;true;true;false;true;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV006;FR;Mondeville (Caen);Mondeville (Caen);14120;14 rue Marcelin Berthelot;02 31 82 33 73;bv.mondeville@bureau-vallee.fr;-0.298726;49.161152;RNW;INTERNAL_STORE;16/08/2001;740;Romuald Métayer;;BV STORE FR;SASU;true;false;true;false;true;true;true;true;true;true;true;false;false;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV518;FR;St Méen Le Grand;Saint Méen Le Grand;35290;1 Allée Louis Lépine;02 23 43 21 44;bv.saint-meen-le-grand@bureau-vallee.fr;-2.1774189;48.18605635;RNW;INTERNAL_STORE;10/05/2022;420;DAMIEN PECHEUR;DAMIEN PECHEUR;Mewen Communication;SARL;false;false;true;false;true;true;true;true;true;true;true;false;false;;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV534;FR;Sarreguemines;Sarreguemines;57200;5 rue des Ormes;03 72 60 62 30;bv.sarreguemines@bureau-vallee.fr;7.085399428;49.11718316;RNE;INTERNAL_STORE;19/04/2023;550;Valérie NORMAND;ARNAUD NORMAND;SGS DISTRIBUTION;SAS;false;false;true;false;true;false;true;true;true;true;true;false;false;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV520;FR;Aubière;Clermont-Ferrand;63000;Avenue Ernest CRISTAL;04 73 14 14 17;bv.aubiere@bureau-vallee.fr;3.149182411;45.7574407;RRA;INTERNAL_STORE;30/05/2022;571;Patrick OLIVO;PHILIPPE GERARD;BUREAUTIQUE CLT SUD;SARL;false;false;true;false;true;true;true;true;true;true;true;false;true;STORE_BACKGROUND;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV549;FR;Labège (Toulouse);Labège;31670;31 rue des Arts;05 31 61 41 66;magasin@bv-labege.com;1.48279;43.57216;RS;INTERNAL_STORE;02/12/2024;995;MATHIAS FEUILLETTE;NICOLAS VAYSSE;BV LABEGE;SAS;false;false;true;false;true;true;true;true;true;true;true;false;false;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;30;SHOP
BV529;FR;Nice Ouest;Nice;6200;52 avenue Pierre Isnard;04 93 51 91 95;bv.niceouest@bureau-vallee.fr;7.198307;43.68703664;RSE;INTERNAL_STORE;14/12/2022;530;Nathalie DOCHEZ;JEAN-CHRISTOPHE DOCHEZ;SOLIS;SARL;false;false;true;false;true;false;true;true;true;true;true;false;false;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV517;FR;Arès;Arès;33740;Zone Grande Lande - 41 rue du Temple;05 57 17 02 91;bv.ares@bureau-vallee.fr;-1.122480996;44.77681078;RSW;INTERNAL_STORE;22/06/2022;238;Guillaume DUFOUR;Pasacl MARC;Arema;SARL;false;false;true;false;true;false;true;true;true;true;true;false;false;STORE_CHECKOUT;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
BV530;FR;St Peray;SAINT PERAY;7130;406 AVENUE GROSS UMSTADT;04 75 61 72 41;accueilbvstperay@gmail.com;4.857285;44.94281;RRA;INTERNAL_STORE;15/02/2023;500;David Aubree;;BV ST PERAY;SARL;true;false;true;false;true;true;true;true;true;true;true;false;true;SERVICE_AREA;facilypay_3x_fees, facilypay_4x_fees, facilypay_10x_fees, facilypay_12x_fees, adyen_cc, googlepay, applepay;2;0;EUR;50;7;SHOP
